site_id,site_latitude,site_longitude,max_soil_lead_ppm,school_id,school_name,school_latitude,school_longitude,distance_meters
BD-4961,24.80474,88.95596,12455.0,OSM_4821,"Marigold School, Naogaon",24.8065321,88.9532741,336.46
BD-4961,24.80474,88.95596,12455.0,OSM_4824,"Naogaon Mission School, Naogaon",24.8045051,88.9586341,271.18
BD-4961,24.80474,88.95596,12455.0,OSM_4825,"Chalkrampur Govt. School, Naogaon",24.8035293,88.9569805,169.51
BD-4786,24.88005,89.00322,2040.0,OSM_9163,Unnamed School,24.8757706,89.0046785,498.07
BD-4786,24.88005,89.00322,2040.0,OSM_9167,Unnamed School,24.87581,89.0044731,488.12
BD-4786,24.88005,89.00322,2040.0,OSM_9168,Unnamed School,24.8758067,89.0041409,480.89
BD-7175,24.75224,90.4151,356.0,OSM_6187,Premier Ideal High School,24.7537738,90.4152772,171.49
BD-7175,24.75224,90.4151,356.0,OSM_6188,Kumar Upendra Biddapith,24.7542768,90.4157119,234.76
BD-7175,24.75224,90.4151,356.0,OSM_6478,"Mymensingh High School, High school",24.7523895,90.4126721,245.73
BD-5024,22.37683,91.7612,293.0,OSM_5022,"Latifpur Alhajj Abdul Jalil High School, Latifpur, Salimpur, Chattogram",22.3775694,91.7604515,112.62
BD-5024,22.37683,91.7612,293.0,OSM_5023,"Latifpur Government Primary School, Salimpur, Salimpur Union, Chattogram",22.3779439,91.7605641,140.06
BD-5024,22.37683,91.7612,293.0,OSM_5034,Unnamed School,22.3782921,91.7618259,174.85
BD-7565,23.90258,89.14429,30761.0,OSM_4258,Hasan Zaman Lalon Junior High School,23.9021633,89.1429327,145.55
BD-7565,23.90258,89.14429,30761.0,OSM_4271,Mill Para Girl's High School,23.9001543,89.1480477,467.63
BD-7565,23.90258,89.14429,30761.0,OSM_4272,Arua Para Girls Hgih School,23.8983918,89.1436815,469.8
BD-7565,23.90258,89.14429,30761.0,OSM_4273,Dinomoni High School,23.8991902,89.1435536,384.29
BD-4799,22.81656,89.55318,20059.0,OSM_4975,WZPDCL High School,22.8145444,89.5533318,224.66
BD-4799,22.81656,89.55318,20059.0,OSM_9356,Palli Mangal Girls High School,22.8144838,89.5500422,395.89
BD-5129,23.90229,89.14504,4744.0,OSM_4258,Hasan Zaman Lalon Junior High School,23.9021633,89.1429327,214.69
BD-5129,23.90229,89.14504,4744.0,OSM_4271,Mill Para Girl's High School,23.9001543,89.1480477,387.15
BD-5129,23.90229,89.14504,4744.0,OSM_4272,Arua Para Girls Hgih School,23.8983918,89.1436815,454.93
BD-5129,23.90229,89.14504,4744.0,OSM_4273,Dinomoni High School,23.8991902,89.1435536,376.35
BD-4954,22.96601,89.47717,4391.0,OSM_3826,Govt Primary School,22.9663442,89.4750318,222.04
BD-4954,22.96601,89.47717,4391.0,OSM_8424,Damodar Primary School,22.9633066,89.4788173,344.68
